Accession,gene
A0A1B0GVD5,CTSD
P09382,LGALS1
Q16836,HADH
P47712,PLA2G4A
P29692,EEF1D
Q86V81,ALYREF
Q9H0U4,RAB1B
P49915,GMPS
A0A2R8Y7Z0,CTNNB1
P22087,FBL
P49588,AARS1
P07910,HNRNPC
Q9Y230,RUVBL2
Q562R1,ACTBL2
P05091,ALDH2
P54578,USP14
P32969,RPL9
P62906,RPL10A
Q16531,DDB1
O60701,UGDH
P61981,YWHAG
P23526,AHCY
P30044,PRDX5
A0A2R8Y6J3,RPL5
Q93009,USP7
P12235,SLC25A4
P22102,GART
Q6DD88,ATL3
Q13310,PABPC4
P67936,TPM4
P18754,RCC1
O00148,DDX39A
P09104,ENO2
Q15181,PPA1
Q71DI3,H3C15
M0R0F0,RPS5
Q16576,RBBP7
P43686,PSMC4
P52292,KPNA2
Q96AE4,FUBP1
P30086,PEBP1
O00299,CLIC1
J3KN67,TPM3
B5MDF5,RAN
P0DP25,CALM3
Q01813,PFKP
P15880,RPS2
Q71UI9,H2AZ2
Q13813,SPTAN1
P41091,EIF2S3
P32322,PYCR1
Q92499,DDX1
P55209,NAP1L1
K7ELL7,PRKCSH
Q5QNW6,H2BC18
P62136,PPP1CA
Q08945,SSRP1
Q13011,ECH1
P33992,MCM5
P61204,ARF3
P30048,PRDX3
P62081,RPS7
R4GNH3,PSMC3
B4DLN1,2 SV
Q9UHD8,SEPTIN9
Q14498,RBM39
P31930,UQCRC1
P13489,RNH1
P39748,FEN1
Q8N163,CCAR2
P46087,NOP2
Q9Y266,NUDC
Q96AG4,LRRC59
Q6NUK1,SLC25A24
P11388,TOP2A
Q9H0A0,NAT10
O96008,TOMM40
O75083,WDR1
Q05639,EEF1A2
O95831,AIFM1
P62140,PPP1CB
P51858,HDGF
P48047,ATP5PO
Q14152,EIF3A
P35527,KRT9
Q92804,TAF15
Q5JPE7,NOMO2
P63220,RPS21
O60664,PLIN3
A0A0A0MRM9,NOLC1
Q8WUM4,PDCD6IP
P15531,NME1
P62241,RPS8
P46013,MKI67
O14818,PSMA7
Q9HDC9,APMAP
P11413,G6PD
P0CG38,POTEI
P16152,CBR1
P68431,H3C1
P41252,IARS1
H3BNC9,3 SV
P55084,HADHB
Q01105,SET
A0A2R8Y422,RPS27AP5
Q8N1F7,NUP93
Q96PK6,RBM14
P30043,BLVRB
Q8N257,H2BU1
P09661,SNRPA1
P09525,ANXA4
Q99536,VAT1
P15121,AKR1B1
Q9Y617,PSAT1
P49257,LMAN1
O75369,FLNB
O75947,ATP5PD
P28838,LAP3
P47897,QARS1
Q06323,PSME1
Q15424,SAFB
Q9BZZ5,API5
Q00341,HDLBP
Q9P258,RCC2
Q12874,SF3A3
P61158,ACTR3
P16989,YBX3
Q13423,NNT
F8W1R7,MYL6
P30040,ERP29
Q13283,G3BP1
O14980,XPO1
Q13148,TARDBP
Q9Y3I0,RTCB
P26358,DNMT1
Q9BUJ2,HNRNPUL1
Q9UMX0,UBQLN1
P05386,RPLP1
Q13162,PRDX4
Q13185,CBX3
P62917,RPL8
P24534,EEF1B2
O15067,PFAS
P40925,MDH1
Q8NFV4,ABHD11
P37837,TALDO1
O95373,IPO7
P31942,HNRNPH3
P18206,VCL
O43852,CALU
P54727,RAD23B
A0A2R8Y811,RPS14
Q16822,PCK2
P62277,RPS13
P04632,CAPNS1
P08574,CYC1
Q9Y6C9,MTCH2
P21281,ATP6V1B2
P50502,ST13
Q96P70,IPO9
Q5SSJ5,HP1BP3
Q9H2U2,PPA2
Q92688,ANP32B
O43242,PSMD3
Q00325,SLC25A3
P11387,TOP1
P49756,RBM25
Q58FF6,HSP90AB4P
J3KTL2,SRSF1
Q9Y2W1,THRAP3
P00387,CYB5R3
P09012,SNRPA
P43487,RANBP1
C9JZR2,CTNND1
P53621,COPA
P54577,YARS1
Q15637,SF1
P49419,ALDH7A1
Q8NC51,SERBP1
P49755,TMED10
P38159,RBMX
P62829,RPL23
E7EQV9,RPL15
O95757,HSPA4L
P16615,ATP2A2
P38606,ATP6V1A
P25786,PSMA1
P20618,PSMB1
Q15046,KARS1
O00625,PIR
P23381,WARS1
P45973,CBX5
Q16643,DBN1
Q12907,LMAN2
O94826,TOMM70
Q14240,EIF4A2
P36957,DLST
D6RBZ0,HNRNPAB
A0A087X1Z3,PSME2
P52815,MRPL12
P27635,RPL10
B4DR61,SEC61A1
P31150,GDI1
P61604,HSPE1
G8JLA2,MYL6
P28070,PSMB4
P43304,GPD2
O15042,U2SURP
P08621,SNRNP70
Q9P0L0,VAPA
P62820,RAB1A
P52907,CAPZA1
O00429,DNM1L
P26583,HMGB2
P14923,JUP
P10515,DLAT
P28074,PSMB5
P42285,MTREX
O75475,PSIP1
Q06210,GFPT1
P47756,CAPZB
P84243,H3-3A
P39687,ANP32A
P52565,ARHGDIA
P53618,COPB1
Q04760,GLO1
P30050,RPL12
P26196,DDX6
Q13501,SQSTM1
B0QYK0,EWSR1
P50402,EMD
B9A041,MDH1
P04040,CAT
E5RI99,RPL30
Q86UP2,KTN1
A6NKB8,RNPEP
P62280,RPS11
E9PLK3,NPEPPS
P51610,HCFC1
C9J7B5,EIF5A2
P25398,RPS12
B1AK88,CAPZB
P53597,SUCLG1
P60903,S100A10
P17174,GOT1
G3XAC6,RBM39
P09972,ALDOC
P25789,PSMA4
Q14151,SAFB2
O00410,IPO5
Q02978,SLC25A11
Q08J23,NSUN2
Q99733,NAP1L4
E7ETY2,TCOF1
O76003,GLRX3
P62753,RPS6
P55145,MANF
O00629,KPNA4
Q9HCC0,MCCC2
O75131,CPNE3
Q9H361,PABPC3
P20290,BTF3
Q29RF7,PDS5A
O94776,MTA2
Q13151,HNRNPA0
P83916,CBX1
P50995,ANXA11
O43809,NUDT21
P56537,EIF6
P62873,GNB1
F8WJN3,CPSF6
P49773,HINT1
Q9BXP5,SRRT
Q6NVY1,HIBCH
Q9Y3F4,STRAP
P60866,RPS20
Q8WXF1,PSPC1
F8W726,UBAP2L
P62314,SNRPD1
P36542,ATP5F1C
H7BZJ3,PDIA3
Q04837,SSBP1
P21964,COMT
Q9UKV3,ACIN1
Q16543,CDC37
P61353,RPL27
O14950,MYL12B
P15559,NQO1
Q96DI7,SNRNP40
Q14444,CAPRIN1
P16435,POR
O43681,GET3
Q96SI9,STRBP
Q92621,NUP205
Q96C36,PYCR2
Q96QK1,VPS35
Q02880,TOP2B
P51665,PSMD7
P17931,LGALS3
P82979,SARNP
Q9Y678,COPG1
O00303,EIF3F
B4DUT8,CNN2
P16949,STMN1
E9PL71,EEF1D
P46783,RPS10
P51648,ALDH3A2
P62191,PSMC1
Q92769,HDAC2
Q9ULV4,CORO1C
Q5T5C7,SARS1
O15371,EIF3D
P60900,PSMA6
Q9UQ35,SRRM2
Q15149,PLEC
H9KV28,DIAPH1
P28066,PSMA5
P51149,RAB7A
Q9UKM9,RALY
P50440,GATM
P38117,ETFB
Q9Y5S9,RBM8A
P35749,MYH11
O43684,BUB3
Q86UE4,MTDH
P62316,SNRPD2
P07858,CTSB
Q9GZT3,SLIRP
K7EJV9,RPL23A
O00505,KPNA3
P51148,RAB5C
P84098,RPL19
Q02218,OGDH
P17096,HMGA1
P19367,HK1
Q14165,MLEC
P60228,EIF3E
P26373,RPL13
E7EX73,EIF4G1
H0Y993,DEK
P62249,RPS16
Q9NVP1,DDX18
Q14683,SMC1A
P68036,UBE2L3
Q9BVP2,GNL3
P35998,PSMC2
P35613,BSG
P62269,RPS18
Q13547,HDAC1
O00231,PSMD11
P56192,MARS1
Q15008,PSMD6
P43246,MSH2
P61163,ACTR1A
Q5JTH9,RRP12
Q16401,PSMD5
Q53GQ0,HSD17B12
Q15019,SEPTIN2
Q5JRX3,PITRM1
Q9BXW7,HDHD5
P25787,PSMA2
Q9Y4W6,AFG3L2
Q9UN86,G3BP2
O94906,PRPF6
Q15050,RRS1
Q13347,EIF3I
P13995,MTHFD2
O60264,SMARCA5
A0A096LPI6,4 SV
Q15428,SF3A2
Q14257,RCN2
P49721,PSMB2
G3V203,RPL18
O00487,PSMD14
P54136,RARS1
Q15056,EIF4H
P49792,RANBP2
Q13409,DYNC1I2
O43776,NARS1
P07741,APRT
P55809,OXCT1
P15927,RPA2
O14979,HNRNPDL
P04179,SOD2
P18085,ARF4
O75431,MTX2
P39019,RPS19
Q10713,PMPCA
P61224,RAP1B
P53634,CTSC
Q5W0H4,TPT1
Q00796,SORD
O43837,IDH3B
P22307,SCP2
Q9H9B4,SFXN1
O95232,LUC7L3
A0A087WZ13,RAVER1
P51572,BCAP31
P42126,ECI1
P17858,PFKL
P07384,CAPN1
Q04917,YWHAH
P62244,RPS15A
Q9UNZ2,NSFL1C
Q9NVI7,ATAD3A
Q16658,FSCN1
Q5SX90,GDI2
A0A0C4DG89,DDX46
F8VRH0,PCBP2
P11177,PDHB
Q8TEX9,IPO4
P33240,CSTF2
Q9BVK6,TMED9
P61106,RAB14
Q9HAV7,GRPEL1
Q15293,RCN1
P46781,RPS9
E9PKG1,PRMT1
Q9UNM6,PSMD13
Q5T4U5,ACADM
Q14684,RRP1B
Q9NSD9,FARSB
O95573,ACSL3
U3KQT1,ESD
O75439,PMPCB
Q5URX0,HEXB
Q9UQE7,SMC3
F8W914,RTN4
A0A087X2I1,PSMC6
J3KS22,DCXR
Q9NPH2,ISYNA1
P63208,SKP1
O00425,IGF2BP3
Q9Y446,PKP3
C9JSZ1,FUBP1
A0A1W2PPZ5,TCEA1
P55884,EIF3B
P24539,ATP5PB
Q9UKX7,NUP50
P31949,S100A11
P06703,S100A6
Q86U42,PABPN1
P50213,IDH3A
O00764,PDXK
F8W809,TXNRD1
P14868,DARS1
Q9Y2T7,YBX2
P62995,TRA2B
Q8IY81,FTSJ3
Q14137,BOP1
Q99460,PSMD1
P00367,GLUD1
Q5T0R9,CAP1
P46060,RANGAP1
P04080,CSTB
Q01081,U2AF1
Q9H583,HEATR1
Q8NFQ8,TOR1AIP2
P49720,PSMB3
Q9NYF8,BCLAF1
Q96EP5,DAZAP1
P62318,SNRPD3
P62195,PSMC5
Q9H0S4,DDX47
Q7L2H7,EIF3M
P61019,RAB2A
O43396,TXNL1
Q15427,SF3B4
Q13573,SNW1
P46778,RPL21
O75347,TBCA
Q96I99,SUCLG2
P10599,TXN
P05198,EIF2S1
Q9Y262,EIF3L
P84103,SRSF3
Q15691,MAPRE1
Q9BZE4,GTPBP4
P20674,COX5A
Q96I24,FUBP3
Q8IYB3,SRRM1
A0A0C4DGB5,CAST
O43615,TIMM44
P84085,ARF5
P84090,ERH
P62266,RPS23
Q9UHB6,LIMA1
P02786,TFRC
Q9UHG3,PCYOX1
P33316,DUT
O14880,MGST3
Q9UKY7,CDV3
Q15397,PUM3
P42766,RPL35
P61026,RAB10
P09758,TACSTD2
Q9Y2B0,CNPY2
Q14318,FKBP8
Q9Y285,FARSA
B8ZZ54,HSPE1
O60763,USO1
Q96T88,UHRF1
P30049,ATP5F1D
Q5T9A4,ATAD3B
P14324,FDPS
P26639,TARS1
Q7Z406,MYH14
A0A087WYT3,PTGES3
P50225,SULT1A1
O60832,DKC1
Q99459,CDC5L
O60841,EIF5B
Q14247,CTTN
P27694,RPA1
P11766,ADH5
O14744,PRMT5
H3BMM9,RNPS1
Q99584,S100A13
Q9BWF3,RBM4
Q9NZM1,MYOF
O76094,SRP72
A0A1W2PQV2,GCSH
B5ME19,EIF3CL
O96019,ACTL6A
Q53GS9,USP39
P63172,DYNLT1
C9JFR7,CYCS
P42677,RPS27
Q01970,PLCB3
Q01650,SLC7A5
Q9BYG3,NIFK
A0A3B3IUA2,SNU13
A0A0A0MSK5,TOR1AIP1
Q8IZL8,PELP1
Q9UKD2,MRTO4
O75607,NPM3
Q9Y696,CLIC4
O00154,ACOT7
P60981,DSTN
P31689,DNAJA1
P47985,UQCRFS1
D6RER5,SEPTIN11
P78347,GTF2I
P25788,PSMA3
E7EU96,CSNK2A1
P08240,SRPRA
Q13867,BLMH
P60953,CDC42
O75396,SEC22B
S4R341,NOLC1
P23786,CPT2
P05556,ITGB1
Q15102,PAFAH1B3
Q16629,SRSF7
P49189,ALDH9A1
P61160,ACTR2
B0QZ18,CPNE1
P12955,PEPD
P22061,PCMT1
O95433,AHSA1
P35268,RPL22
Q92820,GGH
O15260,SURF4
Q9NVJ2,ARL8B
P30519,HMOX2
Q9NX58,LYAR
O60488,ACSL4
Q9Y2Q3,GSTK1
P50416,CPT1A
P00491,PNP
A0A2R8Y849,RPS24
A0A2R8YDT1,GLUL
J3KN16,ECPAS
Q9GZR7,DDX24
P16422,EPCAM
P13861,PRKAR2A
H0YHX9,NACA
Q96KP4,CNDP2
M0QXF9,BCAT2
O00422,SAP18
P31153,MAT2A
Q8TDD1,DDX54
P51571,SSR4
Q14011,CIRBP
B4DXZ6,FXR1
H3BUX2,CYB5B
P13073,COX4I1
P20073,ANXA7
M0R026,ILVBL
Q8TCJ2,STT3B
Q13155,AIMP2
P46926,GNPDA1
Q9BS26,ERP44
X6R700,CHTOP
O43237,DYNC1LI2
O14828,SCAMP3
P98179,RBM3
O00515,LAD1
Q9H0L4,CSTF2T
Q92879,CELF1
O95336,PGLS
A0A140TA86,MICOS13
F5GZ28,LIG1
P62913,RPL11
Q9P035,HACD3
Q9Y281,CFL2
Q7Z4V5,HDGFL2
Q9BR76,CORO1B
D3YTB1,RPL32
Q15363,TMED2
A0A286YFF7,PPT1
P28072,PSMB6
P62879,GNB2
P00403,MT-CO2
A0A6I8PL42,LARS1
A0A0A0MT01,GSN
P08243,ASNS
P15170,GSPT1
Q13895,BYSL
E7EX17,EIF4B
Q13243,SRSF5
O00116,AGPS
P30536,TSPO
P63167,DYNLL1
P37108,SRP14
Q9NRR5,UBQLN4
F5H5I6,GRSF1
Q08623,PUDP
Q14166,TTLL12
Q9ULC4,MCTS1
P61289,PSME3
K7EMW4,NCLN
P61088,UBE2N
Q9BQ39,DDX50
Q01469,FABP5
Q02543,RPL18A
Q8IWX8,CHERP
E7EUC7,UGP2
Q9GZS3,WDR61
P02538,KRT6A
Q9BW27,NUP85
G3V3E8,NPC2
O95881,TXNDC12
P43490,NAMPT
P02533,KRT14
P49790,NUP153
P30520,ADSS2
A0A3B3IRI3,TJP2
J3KP15,SRSF2
P61964,WDR5
Q12873,CHD3
P14678,SNRPB
Q9NTK5,OLA1
E9PLL6,RPL27A
Q02809,PLOD1
P62491,RAB11A
Q9BY44,EIF2A
Q8NCW5,NAXE
P55735,SEC13
F5H867,SLC3A2
O75340,PDCD6
Q8N684,CPSF7
Q8NE71,ABCF1
Q14126,DSG2
P61586,RHOA
A0A087X253,AP2B1
P55263,ADK
Q12904,AIMP1
Q9BTT0,ANP32E
Q9Y224,RTRAF
O15144,ARPC2
Q14739,LBR
O15347,HMGB3
Q9BQ69,MACROD1
Q96S52,PIGS
P40429,RPL13A
K7ELZ9,NCLN
E7EVX8,PRPF31
Q96CS3,FAF2
Q15061,WDR43
Q9H993,ARMT1
Q9BRJ6,C7orf50
P11279,LAMP1
Q10471,GALNT2
O75400,PRPF40A
Q7Z6Z7,HUWE1
C9IZ01,GFM1
Q9NR28,DIABLO
Q8N8S7,ENAH
Q14696,MESD
Q96A33,CCDC47
Q00688,FKBP3
Q9BVI4,NOC4L
P55036,PSMD4
P40938,RFC3
P06493,CDK1
Q8WWQ0,PHIP
Q9NRG9,AAAS
O95104,SCAF4
M0R2L9,RPS19
P11717,IGF2R
Q9NR31,SAR1A
O75915,ARL6IP5
P50914,RPL14
P62854,RPS26
P08579,SNRPB2
P61970,NUTF2
P05114,HMGN1
Q9H6R4,NOL6
P52943,CRIP2
P67775,PPP2CA
O75531,BANF1
O00232,PSMD12
P57740,NUP107
P62857,RPS28
P14550,AKR1A1
Q9UBT2,UBA2
Q16181,SEPTIN7
Q96K17,BTF3L4
Q12769,NUP160
Q5VW32,BROX
P19525,EIF2AK2
O95292,VAPB
B7Z7P8,ETF1
Q13242,SRSF9
O75494,SRSF10
Q9P0M6,MACROH2A2
B1ALA9,PRPS1
O43290,SART1
K7ELX4,FECH
Q9BPW8,NIPSNAP1
O75937,DNAJC8
C9JFN4,BZW1
Q16740,CLPP
O60306,AQR
Q96HS1,PGAM5
P09543,CNP
P30419,NMT1
P04899,GNAI2
O60313,OPA1
Q9H0D6,XRN2
F8W651,COPZ1
Q9UK76,JPT1
Q9BRR6,ADPGK
Q6XQN6,NAPRT
P52306,RAP1GDS1
C9JTN7,TIA1
Q9Y3U8,RPL36
Q8NBJ5,COLGALT1
Q8NBX0,SCCPDH
P30038,ALDH4A1
A0A3B3ITX4,3 SV
Q92896,GLG1
P27708,CAD
Q6P1J9,CDC73
A0A1B0GUE3,ASAH1
O75691,UTP20
Q14320,FAM50A
Q96EY7,PTCD3
O95782,AP2A1
H0YIQ2,YLPM1
P69905,HBA1
P30405,PPIF
Q15388,TOMM20
A0A087WXI5,CDH1
P63173,RPL38
Q13561,DCTN2
Q9UBE0,SAE1
K7EM09,TMEM205
Q96HE7,ERO1A
Q96BM9,ARL8A
P53985,SLC16A1
E7ESY4,MTA1
Q8TDN6,BRIX1
H0YJA2,ZC3H14
Q15031,LARS2
Q96A72,MAGOHB
P09960,LTA4H
P07305,H1-0
P35658,NUP214
P61326,MAGOH
Q9NWH9,SLTM
Q9HA77,CARS2
P40937,RFC5
Q2TAY7,SMU1
H3BQZ7,HNRNPUL2-BSCL2
Q9Y333,LSM2
Q86VM9,ZC3H18
P55957,BID
Q9Y221,NIP7
H7C2W9,RPL31
P25325,MPST
Q9NY33,DPP3
H3BRC0,COQ9
P61006,RAB8A
P00167,CYB5A
Q9Y2Z0,SUGT1
B8ZZQ6,PTMA
A0A0J9YXF2,PON2
A0A3B3IRQ8,CTPS1
P47755,CAPZA2
Q99575,POP1
O14929,HAT1
O15173,PGRMC2
P35606,COPB2
Q9BUQ8,DDX23
P30533,LRPAP1
Q9Y383,LUC7L2
O95197,RTN3
P62328,TMSB4X
Q13308,PTK7
Q9Y2W2,WBP11
P18583,SON
Q9Y3C6,PPIL1
Q56VL3,OCIAD2
P46459,NSF
Q92526,CCT6B
O00159,MYO1C
Q15417,CNN3
Q6UN15,FIP1L1
O60869,EDF1
Q8WUM0,NUP133
F6TLX2,GLOD4
H3BN98,3 SV
P52701,MSH6
P67870,CSNK2B
Q9Y263,PLAA
C9JRZ6,CHCHD3
Q9UIG0,BAZ1B
Q9BTV4,TMEM43
C9JLU1,POLR2H
P00568,AK1
Q9H307,PNN
F8W7Q4,FAM162A
P14174,MIF
Q8N1G4,LRRC47
Q96I25,RBM17
P53999,SUB1
Q9BQ61,TRIR
Q9H910,JPT2
F5GYQ1,ATP6V0D1
Q9Y624,F11R
Q13523,PRPF4B
Q9UH99,SUN2
P62306,SNRPF
Q9UNX4,WDR3
O75844,ZMPSTE24
Q14847,LASP1
P35244,RPA3
F5H365,SEC23A
Q92922,SMARCC1
O14579,COPE
P13798,APEH
Q969Z0,TBRG4
P63279,UBE2I
Q8WW12,PCNP
A0A3B3IRT8,SSR1
Q00059,TFAM
Q15370,ELOB
V9GZ56,LSM4
Q14008,CKAP5
A0A3B3IUB5,HM13
Q3ZCQ8,TIMM50
O14776,TCERG1
Q99436,PSMB7
O75477,ERLIN1
P23921,RRM1
P54725,RAD23A
P40763,STAT3
Q14669,TRIP12
Q96KR1,ZFR
P16930,FAH
P08779,KRT16
Q9NPJ3,ACOT13
Q9UBS4,DNAJB11
Q5T5P2,KIAA1217
Q9NS69,TOMM22
Q9Y3D6,FIS1
Q13363,CTBP1
P10155,RO60
C9JJ19,MRPS34
O43818,RRP9
Q92890,UFD1
Q04323,UBXN1
Q8WXI9,GATAD2B
O43447,PPIH
A0A590UK80,3 SV
Q92797,SYMPK
P12277,CKB
Q9UHD9,UBQLN2
Q5XKE5,KRT79
P08237,PFKM
A0A087WUQ6,GPX1
Q10567,AP1B1
P63000,RAC1
P25685,DNAJB1
P20042,EIF2S2
Q12789,GTF3C1
Q9NTI5,PDS5B
Q13595,TRA2A
O75821,EIF3G
A0A087WUC6,SPCS2
P13984,GTF2F2
A0A3B3ITT5,RPL29
Q13084,MRPL28
Q15020,SART3
O75694,NUP155
Q6DN03,H2BC20P
P23634,ATP2B4
P31937,HIBADH
Q99986,VRK1
P54709,ATP1B3
P51398,DAP3
P82909,MRPS36
Q6YN16,HSDL2
P13284,IFI30
A0A087WVM4,MTHFD1L
Q9Y6A9,SPCS1
P83731,RPL24
Q9NP72,RAB18
P78417,GSTO1
Q86YP4,GATAD2A
P09110,ACAA1
Q92522,H1-10
Q9NZ01,TECR
Q9Y4Y9,LSM5
J3QRU1,YES1
Q01085,TIAL1
O43660,PLRG1
O95302,FKBP9
O75880,SCO1
Q9BYD6,MRPL1
P30837,ALDH1B1
P61254,RPL26
P23258,TUBG1
Q8TAQ2,SMARCC2
Q9NUJ1,ABHD10
O75489,NDUFS3
P51570,GALK1
Q92979,EMG1
Q9UHD1,CHORDC1
Q14019,COTL1
P61020,RAB5B
G5EA06,MRPS27
O75934,BCAS2
Q15819,UBE2V2
A0A2R8Y5Q8,TBCE
Q04446,GBE1
P62851,RPS25
P30046,DDT
P10620,MGST1
Q9NRX4,PHPT1
Q08257,CRYZ
P02794,FTH1
P47813,EIF1AX
Q5TFJ7,KPNA6
Q92882,OSTF1
Q9HC35,EML4
E7ESB6,GIGYF2
B8ZWD1,DBI
Q9BY77,POLDIP3
Q9BRP8,PYM1
